"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Joel Anthony",24.4,5.4,1,24.4,5.4
"made","Dwyane Wade",34.3,5.3,9,34.3,5.3
"made","Dwyane Wade",24.9,5.1,0,24.9,5.1
"made","LeBron James",6.3,8.1,19,6.3,8.1
"made","LeBron James",7.9,8.4,17,7.9,8.4
"made","Dwyane Wade",25.5,4.8,1,25.5,4.8
"made","Dirk Nowitzki",24.3,89,1,25.7,5
"made","Dirk Nowitzki",42.1,88.4,17,7.9,5.59999999999999
"made","Shawn Marion",27,89.3,2,23,4.7
"made","Dwyane Wade",37,19,18,37,19
"made","Jason Terry",42,71.1,25,8,22.9
"made","Mario Chalmers",25,5.1,0,25,5.1
"made","Shawn Marion",24.6,89.6,1,25.4,4.40000000000001
"made","LeBron James",8.5,9.4,17,8.5,9.4
"made","Shawn Marion",24.5,89,0,25.5,5
"made","Dirk Nowitzki",12.8,86.5,12,37.2,7.5
"made","LeBron James",28.2,5.6,3,28.2,5.6
"made","Shawn Marion",24.6,89.5,1,25.4,4.5
"made","Shawn Marion",9.2,87.8,16,40.8,6.2
"made","Norris Cole",32,6.9,7,32,6.9
"made","Jason Terry",1.6,88.9,23,48.4,5.09999999999999
"made","Joel Anthony",24.6,5,0,24.6,5
"made","LeBron James",20.8,24.8,20,20.8,24.8
"made","Vince Carter",15.5,86.5,10,34.5,7.5
"made","Delonte West",47.8,88.7,23,2.2,5.3
"made","Jason Terry",20.1,78.5,12,29.9,15.5
"made","Jason Terry",14.7,68.4,23,35.3,25.6
"made","LeBron James",20.5,6.9,5,20.5,6.9
"made","Ian Mahinmi",22.7,88.9,2,27.3,5.09999999999999
"made","Jason Terry",39,69,24,11,25
"made","Jason Terry",9.3,87.6,16,40.7,6.40000000000001
"made","Dwyane Wade",16.7,6.1,8,16.7,6.1
"made","Delonte West",26.5,89.2,2,23.5,4.8
"made","Dominique Jones",25.1,89,0,24.9,5
"made","Pau Gasol",31.9,84.5,8,18.1,9.5
"made","Joakim Noah",33.9,5,9,33.9,5
"made","Josh McRoberts",23.1,88.4,2,26.9,5.59999999999999
"made","Carlos Boozer",39.6,10.5,16,39.6,10.5
"made","Joakim Noah",6.6,5.7,18,6.6,5.7
"made","Pau Gasol",24.2,88.3,1,25.8,5.7
"made","Pau Gasol",21,77.4,12,29,16.6
"made","Joakim Noah",23.7,5.4,1,23.7,5.4
"made","Devin Ebanks",44,80.1,21,6,13.9
"made","Luol Deng",24.9,6.4,1,24.9,6.4
"made","Kobe Bryant",27,88.9,2,23,5.09999999999999
"made","Pau Gasol",30.3,88.4,5,19.7,5.59999999999999
"made","Kobe Bryant",33.6,70.9,20,16.4,23.1
"made","Ronnie Brewer",24.8,22.5,18,24.8,22.5
"made","Ronnie Brewer",23.3,5.7,2,23.3,5.7
"made","Luol Deng",24.9,5.9,1,24.9,5.9
"made","Steve Blake",5.4,88.9,20,44.6,5.09999999999999
"made","Taj Gibson",40.8,13.2,18,40.8,13.2
"made","CJ Watson",40.7,26.1,26,40.7,26.1
"made","Steve Blake",6.3,72.2,25,43.7,21.8
"made","Omer Asik",23.2,5.1,2,23.2,5.1
"made","Andrew Goudelock",42.4,68.2,27,7.6,25.8
"made","CJ Watson",48.1,4.5,23,48.1,4.5
"made","Metta World Peace",26.2,88.6,1,23.8,5.40000000000001
"made","Richard Hamilton",9.8,6.5,15,9.8,6.5
"made","Derrick Rose",32.3,17.6,15,32.3,17.6
"made","Troy Murphy",25,88.9,0,25,5.09999999999999
"made","Carlos Boozer",30.2,8.9,6,30.2,8.9
"made","Derrick Rose",24.9,5.3,0,24.9,5.3
"made","Troy Murphy",9.7,84.2,16,40.3,9.8
"made","Carlos Boozer",22.7,5,2,22.7,5
"made","Kobe Bryant",33.9,75,17,16.1,19
"made","Richard Hamilton",6.9,6.4,18,6.9,6.4
"made","Kobe Bryant",33.4,69.8,21,16.6,24.2
"made","Carlos Boozer",23.8,5.4,1,23.8,5.4
"made","Kobe Bryant",33.8,72.8,18,16.2,21.2
"made","Derrick Rose",40.3,27.5,27,40.3,27.5
"made","Josh McRoberts",26.5,89,2,23.5,5
"made","Kobe Bryant",27.1,89,2,22.9,5
"made","Carlos Boozer",36.9,13,14,36.9,13
"made","Devin Ebanks",7.6,87.8,17,42.4,6.2
"made","Derrick Rose",29,31.8,27,29,31.8
