"person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch","name","lower_name"
2222,"Wallace, Gerald","Gerald Wallace",FALSE,2001,2014,"gerald_wallace",0,"","","","","Y","00","Gerald Wallace","gerald wallace"
786,"Wilkins, Gerald","Gerald Wilkins",FALSE,1985,1998,"gerald_wilkins",0,"","","","","Y","00","Gerald Wilkins","gerald wilkins"
1562,"King, Gerard","Gerard King",FALSE,1998,2000,"gerard_king",0,"","","","","Y","00","Gerard King","gerard king"
49,"Muresan, Gheorghe","Gheorghe Muresan",FALSE,1993,1999,"gheorghe_muresan",0,"","","","","Y","00","Gheorghe Muresan","gheorghe muresan"
1628492,"Clavell, Gian","Gian Clavell",FALSE,2017,2017,"gian_clavell",0,"","","","","Y","01","Gian Clavell","gian clavell"
203507,"Antetokounmpo, Giannis","Giannis Antetokounmpo",TRUE,2013,2019,"giannis_antetokounmpo",1610612749,"Milwaukee","Bucks","MIL","bucks","Y","00","Giannis Antetokounmpo","giannis antetokounmpo"
203540,"Datome, Gigi","Gigi Datome",FALSE,2013,2014,"gigi_datome",0,"","","","","Y","01","Gigi Datome","gigi datome"
2240,"Arenas, Gilbert","Gilbert Arenas",FALSE,2001,2011,"gilbert_arenas",0,"","","","","Y","00","Gilbert Arenas","gilbert arenas"
201175,"Davis, Glen","Glen Davis",FALSE,2007,2014,"glen_davis",0,"","","","","Y","00","Glen Davis","glen davis"
203318,"Rice, Glen","Glen Rice",FALSE,2013,2014,"glen_rice",0,"","","","","Y","01","Glen Rice 203318","glen rice 203318"
779,"Rice, Glen","Glen Rice",FALSE,1989,2003,"glen_rice",0,"","","","","Y","00","Glen Rice 779","glen rice 779"
299,"Robinson, Glenn","Glenn Robinson",FALSE,1994,2004,"glenn_robinson",0,"","","","","Y","00","Glenn Robinson","glenn robinson"
203922,"Robinson III, Glenn","Glenn Robinson III",TRUE,2014,2019,"glenn_robinson iii",1610612754,"Indiana","Pacers","IND","pacers","Y","11","Glenn Robinson III","glenn robinson iii"
1539,"Shammgod, God","God Shammgod",FALSE,1997,1997,"god_shammgod",0,"","","","","Y","00","God Shammgod","god shammgod"
1629048,"Bitadze, Goga","Goga Bitadze",FALSE,2019,2019,"goga_bitadze",0,"","","","","Y","01","Goga Bitadze","goga bitadze"
201609,"Dragic, Goran","Goran Dragic",TRUE,2008,2019,"goran_dragic",1610612748,"Miami","Heat","MIA","heat","Y","00","Goran Dragic","goran dragic"
1921,"Giricek, Gordan","Gordan Giricek",FALSE,2002,2007,"gordan_giricek",0,"","","","","Y","00","Gordan Giricek","gordan giricek"
202330,"Hayward, Gordon","Gordon Hayward",TRUE,2010,2019,"gordon_hayward",1610612762,"Utah","Jazz","UTA","jazz","Y","00","Gordon Hayward","gordon hayward"
203476,"Dieng, Gorgui","Gorgui Dieng",TRUE,2013,2019,"gorgui_dieng",1610612750,"Minnesota","Timberwolves","MIN","timberwolves","Y","00","Gorgui Dieng","gorgui dieng"
255,"Hill, Grant","Grant Hill",FALSE,1994,2012,"grant_hill",0,"","","","","Y","00","Grant Hill","grant hill"
203511,"Jerrett, Grant","Grant Jerrett",FALSE,2013,2014,"grant_jerrett",0,"","","","","Y","01","Grant Jerrett","grant jerrett"
3,"Long, Grant","Grant Long",FALSE,1988,2002,"grant_long",0,"","","","","Y","00","Grant Long","grant long"
1629684,"Williams, Grant","Grant Williams",FALSE,2019,2019,"grant_williams",0,"","","","","Y","00","Grant Williams","grant williams"
1628960,"Allen, Grayson","Grayson Allen",FALSE,2018,2019,"grayson_allen",0,"","","","","Y","01","Grayson Allen","grayson allen"
246,"Anderson, Greg","Greg Anderson",FALSE,1987,1997,"greg_anderson",0,"","","","","Y","00","Greg Anderson","greg anderson"
21,"Anthony, Greg","Greg Anthony",FALSE,1991,2001,"greg_anthony",0,"","","","","Y","00","Greg Anthony","greg anthony"
1761,"Buckner, Greg","Greg Buckner",FALSE,1999,2008,"greg_buckner",0,"","","","","Y","00","Greg Buckner","greg buckner"
1068,"Dreiling, Greg","Greg Dreiling",FALSE,1986,1996,"greg_dreiling",0,"","","","","Y","00","Greg Dreiling","greg dreiling"
323,"Foster, Greg","Greg Foster",FALSE,1990,2002,"greg_foster",0,"","","","","Y","00","Greg Foster","greg foster"
37,"Graham, Greg","Greg Graham",FALSE,1993,1997,"greg_graham",0,"","","","","Y","00","Greg Graham","greg graham"
65,"Minor, Greg","Greg Minor",FALSE,1994,1998,"greg_minor",0,"","","","","Y","00","Greg Minor","greg minor"
202328,"Monroe, Greg","Greg Monroe",TRUE,2010,2018,"greg_monroe",1610612749,"Milwaukee","Bucks","MIL","bucks","Y","00","Greg Monroe","greg monroe"
201141,"Oden, Greg","Greg Oden",FALSE,2007,2013,"greg_oden",0,"","","","","Y","00","Greg Oden","greg oden"
731,"Ostertag, Greg","Greg Ostertag",FALSE,1995,2005,"greg_ostertag",0,"","","","","Y","01","Greg Ostertag","greg ostertag"
202962,"Smith, Greg","Greg Smith",TRUE,2011,2015,"greg_smith",1610612750,"Minnesota","Timberwolves","MIN","timberwolves","Y","11","Greg Smith","greg smith"
201880,"Stiemsma, Greg","Greg Stiemsma",FALSE,2009,2014,"greg_stiemsma",0,"","","","","Y","01","Greg Stiemsma","greg stiemsma"
202349,"Vasquez, Greivis","Greivis Vasquez",TRUE,2010,2016,"greivis_vasquez",1610612749,"Milwaukee","Bucks","MIL","bucks","Y","00","Greivis Vasquez","greivis vasquez"
1627824,"Yabusele, Guerschon","Guerschon Yabusele",FALSE,2017,2018,"guerschon_yabusele",0,"","","","","Y","01","Guerschon Yabusele","guerschon yabusele"
200799,"Diaz, Guillermo","Guillermo Diaz",FALSE,2007,2007,"guillermo_diaz",0,"","","","","Y","01","Guillermo Diaz","guillermo diaz"
202970,"Ayon, Gustavo","Gustavo Ayon",FALSE,2011,2013,"gustavo_ayon",0,"","","","","Y","00","Gustavo Ayon","gustavo ayon"
2462,"Rucker, Guy","Guy Rucker",FALSE,2002,2002,"guy_rucker",0,"","","","","Y","00","Guy Rucker","guy rucker"
2775,"Ha, Ha","Ha Ha",FALSE,2004,2005,"seung-jin_ha",0,"","","","","Y","01","Ha Ha","ha ha"
165,"Olajuwon, Hakeem","Hakeem Olajuwon",FALSE,1984,2002,"hakeem_olajuwon",0,"","","","","Y","00","Hakeem Olajuwon","hakeem olajuwon"
101124,"Warrick, Hakim","Hakim Warrick",FALSE,2005,2012,"hakim_warrick",0,"","","","","Y","01","Hakim Warrick","hakim warrick"
202380,"Ndiaye, Hamady","Hamady Ndiaye",FALSE,2010,2013,"hamady_ndiaye",0,"","","","","Y","01","Hamady Ndiaye","hamady ndiaye"
201632,"Haddadi, Hamed","Hamed Haddadi",FALSE,2008,2012,"hamed_haddadi",0,"","","","","Y","01","Hamed Haddadi","hamed haddadi"
1628977,"Diallo, Hamidou","Hamidou Diallo",FALSE,2018,2019,"hamidou_diallo",0,"","","","","Y","01","Hamidou Diallo","hamidou diallo"
2069,"Mottola, Hanno","Hanno Mottola",FALSE,2000,2001,"hanno_mottola",0,"","","","","Y","00","Hanno Mottola","hanno mottola"
1677,"Ellis, Harold","Harold Ellis",FALSE,1993,1997,"harold_ellis",0,"","","","","Y","00","Harold Ellis","harold ellis"
1942,"Jamison, Harold","Harold Jamison",FALSE,1999,2002,"harold_jamison",0,"","","","","Y","00","Harold Jamison","harold jamison"
203084,"Barnes, Harrison","Harrison Barnes",TRUE,2012,2019,"harrison_barnes",1610612744,"Golden State","Warriors","GSW","warriors","Y","00","Harrison Barnes","harrison barnes"
1628385,"Giles III, Harry","Harry Giles III",FALSE,2017,2019,"harry_giles",0,"","","","","Y","01","Harry Giles III","harry giles iii"
265,"Grant, Harvey","Harvey Grant",FALSE,1988,1998,"harvey_grant",0,"","","","","Y","00","Harvey Grant","harvey grant"
201934,"Thabeet, Hasheem","Hasheem Thabeet",FALSE,2009,2013,"hasheem_thabeet",0,"","","","","Y","01","Hasheem Thabeet","hasheem thabeet"
200801,"Adams, Hassan","Hassan Adams",FALSE,2006,2008,"hassan_adams",0,"","","","","Y","00","Hassan Adams","hassan adams"
202355,"Whiteside, Hassan","Hassan Whiteside",TRUE,2010,2019,"hassan_whiteside",1610612748,"Miami","Heat","MIA","heat","Y","01","Hassan Whiteside","hassan whiteside"
1629312,"Highsmith, Haywood","Haywood Highsmith",FALSE,2018,2018,"haywood_highsmith",0,"","","","","Y","01","Haywood Highsmith","haywood highsmith"
906,"Workman, Haywoode","Haywoode Workman",FALSE,1989,1999,"haywoode_workman",0,"","","","","Y","00","Haywoode Workman","haywoode workman"
2045,"Turkoglu, Hedo","Hedo Turkoglu",FALSE,2000,2014,"hedo_turkoglu",0,"","","","","Y","00","Hedo Turkoglu","hedo turkoglu"
1627740,"Ellenson, Henry","Henry Ellenson",FALSE,2016,2019,"henry_ellenson",0,"","","","","Y","01","Henry Ellenson","henry ellenson"
1080,"James, Henry","Henry James",FALSE,1990,1997,"henry_james",0,"","","","","Y","00","Henry James","henry james"
203156,"Sims, Henry","Henry Sims",TRUE,2012,2015,"henry_sims",1610612751,"Brooklyn","Nets","BKN","nets","Y","11","Henry Sims","henry sims"
201611,"Walker, Henry","Henry Walker",FALSE,2008,2014,"henry_walker",0,"","","","","Y","01","Henry Walker","henry walker"
1006,"Williams, Herb","Herb Williams",FALSE,1981,1998,"herb_williams",0,"","","","","Y","00","Herb Williams","herb williams"
201195,"Hill, Herbert","Herbert Hill",FALSE,2007,2007,"herbert_hill",0,"","","","","Y","01","Herbert Hill","herbert hill"
765,"Hawkins, Hersey","Hersey Hawkins",FALSE,1988,2000,"hersey_hawkins",0,"","","","","Y","00","Hersey Hawkins","hersey hawkins"
200756,"Armstrong, Hilton","Hilton Armstrong",FALSE,2006,2013,"hilton_armstrong",0,"","","","","Y","01","Hilton Armstrong","hilton armstrong"
2673,"Fuller, Hiram","Hiram Fuller",FALSE,2003,2003,"hiram_fuller",0,"","","","","Y","01","Hiram Fuller","hiram fuller"
203138,"Thompson, Hollis","Hollis Thompson",TRUE,2013,2016,"hollis_thompson",1610612755,"Philadelphia","76ers","PHI","sixers","Y","01","Hollis Thompson","hollis thompson"
270,"Grant, Horace","Horace Grant",FALSE,1987,2003,"horace_grant",0,"","","","","Y","00","Horace Grant","horace grant"
2798,"Jenkins, Horace","Horace Jenkins",FALSE,2004,2004,"horace_jenkins",0,"","","","","Y","00","Horace Jenkins","horace jenkins"
1024,"Llamas, Horacio","Horacio Llamas",FALSE,1996,2002,"horacio_llamas",0,"","","","","Y","00","Horacio Llamas","horacio llamas"
73,"Williams, Hot Rod","Hot Rod Williams",FALSE,1986,1998,"hot rod_williams",0,"","","","","Y","00","Hot Rod Williams","hot rod williams"
458,"Eisley, Howard","Howard Eisley",FALSE,1994,2005,"howard_eisley",0,"","","","","Y","00","Howard Eisley","howard eisley"
93,"Davis, Hubert","Hubert Davis",FALSE,1992,2003,"hubert_davis",0,"","","","","Y","00","Hubert Davis","hubert davis"
203546,"Clark, Ian","Ian Clark",TRUE,2013,2018,"ian_clark",1610612744,"Golden State","Warriors","GSW","warriors","Y","01","Ian Clark","ian clark"
101133,"Mahinmi, Ian","Ian Mahinmi",TRUE,2007,2019,"ian_mahinmi",1610612754,"Indiana","Pacers","IND","pacers","Y","01","Ian Mahinmi","ian mahinmi"
2825,"Kutluay, Ibrahim","Ibrahim Kutluay",FALSE,2004,2004,"ibrahim_kutluay",0,"","","","","Y","00","Ibrahim Kutluay","ibrahim kutluay"
1629649,"Brazdeikis, Ignas","Ignas Brazdeikis",FALSE,2019,2019,"ignas_brazdeikis",0,"","","","","Y","01","Ignas Brazdeikis","ignas brazdeikis"
2080,"Rakocevic, Igor","Igor Rakocevic",FALSE,2002,2002,"igor_rakocevic",0,"","","","","Y","00","Igor Rakocevic","igor rakocevic"
1628387,"Anigbogu, Ike","Ike Anigbogu",FALSE,2017,2018,"ike_anigbogu",0,"","","","","Y","01","Ike Anigbogu","ike anigbogu"
1134,"Austin, Ike","Ike Austin",FALSE,1991,2001,"ike_austin",0,"","","","","Y","00","Ike Austin","ike austin"
101113,"Diogu, Ike","Ike Diogu",FALSE,2005,2011,"ike_diogu",0,"","","","","Y","01","Ike Diogu","ike diogu"
1829,"Fontaine, Ike","Ike Fontaine",FALSE,2001,2001,"ike_fontaine",0,"","","","","Y","00","Ike Fontaine","ike fontaine"
202697,"Shumpert, Iman","Iman Shumpert",TRUE,2011,2019,"iman_shumpert",1610612739,"Cleveland","Cavaliers","CLE","cavaliers","Y","00","Iman Shumpert","iman shumpert"
