"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Anderson Varejao",28.6,79.7,10,21.4,14.3
"made","LeBron James",37.9,69.6,23,12.1,24.4
"made","Kevin Garnett",21.4,12.5,8,21.4,12.5
"made","Anderson Varejao",27.6,81.5,8,22.4,12.5
"made","LeBron James",24.8,87.8,1,25.2,6.2
"made","Mo Williams",23.9,73.4,16,26.1,20.6
"made","Anthony Parker",2.1,85.3,23,47.9,8.7
"made","Paul Pierce",25.4,5.6,1,25.4,5.6
"made","Shaquille O'Neal",24.8,82.6,6,25.2,11.4
"made","Shaquille O'Neal",22,83,7,28,11
"made","Rajon Rondo",38.1,24.7,24,38.1,24.7
"made","Shaquille O'Neal",30.3,83.5,8,19.7,10.5
"made","Rajon Rondo",25.5,8.7,4,25.5,8.7
"made","Paul Pierce",40.2,24.7,25,40.2,24.7
"made","LeBron James",7.8,60.3,33,42.2,33.7
"made","Kevin Garnett",25,4.8,0,25,4.8
"made","LeBron James",25.1,88.1,1,24.9,5.90000000000001
"made","Rasheed Wallace",34.5,29.2,26,34.5,29.2
"made","Daniel Gibson",30,85.7,6,20,8.3
"made","Marquis Daniels",18.6,10.8,9,18.6,10.8
"made","Eddie House",29.9,29.2,25,29.9,29.2
"made","Ray Allen",26,6.9,2,26,6.9
"made","Rasheed Wallace",8.4,26.4,27,8.4,26.4
"made","Anderson Varejao",16.3,72,19,33.7,22
"made","Marquis Daniels",25.4,6.4,1,25.4,6.4
"made","Ray Allen",25,6.4,1,25,6.4
"made","LeBron James",25.2,87.8,1,24.8,6.2
"made","Paul Pierce",1.6,6.2,23,1.6,6.2
"made","Jamario Moon",26.3,88.4,1,23.7,5.59999999999999
"made","Shaquille O'Neal",24.6,89,0,25.4,5
"made","Ray Allen",4.1,20.6,26,4.1,20.6
"made","Anthony Parker",23.2,82.3,7,26.8,11.7
"made","Kendrick Perkins",41.1,8.6,16,41.1,8.6
"made","Ray Allen",2.4,13.8,24,2.4,13.8
"made","Kendrick Perkins",25,7,2,25,7
"made","LeBron James",9.8,75.3,20,40.2,18.7
"made","Kendrick Perkins",10.7,8,15,10.7,8
"made","Rajon Rondo",23.8,5.9,2,23.8,5.9
"made","Kevin Garnett",25.7,10.8,6,25.7,10.8
"made","Shaquille O'Neal",25.1,87.5,2,24.9,6.5
"made","Anthony Parker",48,87.5,23,2,6.5
"made","Rajon Rondo",24.9,5.6,1,24.9,5.6
"made","Mo Williams",11.6,83.8,14,38.4,10.2
"made","Kevin Garnett",36.9,13.2,14,36.9,13.2
"made","Mo Williams",19.8,81,10,30.2,13
"made","Ray Allen",41,5.7,16,41,5.7
"made","LeBron James",48,88.7,23,2,5.3
"made","LeBron James",25.6,87.3,2,24.4,6.7
"made","Rasheed Wallace",6.1,5.6,19,6.1,5.6
"made","LeBron James",40.5,80.5,18,9.5,13.5
"made","Marquis Daniels",47.9,7.5,23,47.9,7.5
"made","Rasheed Wallace",11.8,26.3,25,11.8,26.3
"made","Zydrunas Ilgauskas",4.6,88.3,20,45.4,5.7
"made","Kendrick Perkins",24.4,5.6,1,24.4,5.6
"made","LeBron James",36.9,65.5,26,13.1,28.5
"made","Paul Pierce",32,20.4,17,32,20.4
"made","Kevin Garnett",36.1,11.6,13,36.1,11.6
